id,name,position,shirt_number,team_id,team_side,substitute,captain,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,good_high_claim,saved_shots_from_inside_the_box,saves,minutes_played,touches,rating,possession_lost_ctrl,rating_original,rating_alternative,goals_prevented,match_id,total_cross,accurate_cross,aerial_lost,duel_lost,duel_won,dispossessed,on_target_scoring_attempt,goals,total_clearance,outfielder_block,interception_won,total_tackle,fouls,expected_goals,expected_assists,aerial_won,was_fouled,shot_off_target,challenge_lost,total_contest,won_contest,big_chance_created,clearance_off_line,key_pass,error_lead_to_a_shot,big_chance_missed,penalty_miss,blocked_scoring_attempt,penalty_save,punches,penalty_conceded,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,hit_woodwork,last_man_tackle,own_goals,penalty_won,error_lead_to_a_goal
824584,Emil Bohinen,M,8,2713,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121370,Federico Accornero,M,55,2745,home,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16206,Yann Sommer,G,1,2697,away,False,False,26.0,20.0,5.0,,0.0,,3.0,5.0,90.0,37.0,7.3,7.0,7.3,6.9,0.7051,12499256,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,
906275,Yann Bisseck,D,31,2697,away,False,False,60.0,56.0,1.0,,0.0,,,,90.0,74.0,6.5,6.0,6.5,6.2,,12499256,,,2.0,6.0,7.0,,,,3.0,,2.0,,3.0,0.2167,0.044328,6.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,
126816,Francesco Acerbi,D,15,2697,away,False,False,76.0,70.0,1.0,,0.0,,,,90.0,88.0,6.8,6.0,6.8,6.9,,12499256,1.0,1.0,1.0,4.0,9.0,,,,7.0,,,2.0,2.0,,0.042457,6.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
826188,Alessandro Bastoni,D,95,2697,away,False,False,72.0,65.0,8.0,3.0,0.0,,,,90.0,90.0,6.8,13.0,6.8,6.6,,12499256,3.0,,2.0,3.0,5.0,,,,2.0,,,2.0,1.0,,0.0404717,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,
19352,Matteo Darmian,M,36,2697,away,False,False,25.0,20.0,2.0,,0.0,,,,66.0,39.0,6.4,9.0,6.4,6.3,,12499256,1.0,,1.0,4.0,3.0,,,,1.0,,,1.0,2.0,,0.0120619,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,
363856,Nicolò Barella,M,23,2697,away,False,False,61.0,54.0,2.0,1.0,1.0,,,,90.0,75.0,7.0,13.0,7.0,6.7,,12499256,2.0,1.0,2.0,7.0,3.0,2.0,,,,,,,,0.0137,0.237166,,2.0,,3.0,1.0,1.0,,,3.0,,,,1.0,,,,,,,,,,,
135700,Hakan Çalhanoğlu,M,20,2697,away,False,False,70.0,65.0,5.0,5.0,0.0,,,,75.0,88.0,7.4,9.0,7.4,7.6,,12499256,3.0,1.0,2.0,2.0,6.0,,,,2.0,,,4.0,,0.0209,0.111478,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
37151,Henrikh Mkhitaryan,M,22,2697,away,False,False,27.0,21.0,,,0.0,,,,66.0,33.0,6.3,9.0,6.3,6.1,,12499256,,,,3.0,,,,,,,,,1.0,0.0746,0.0219791,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,
284361,Federico Dimarco,M,32,2697,away,False,False,23.0,21.0,,,0.0,,,,75.0,35.0,6.8,6.0,6.8,6.7,,12499256,6.0,2.0,,,1.0,,1.0,,,,,,,0.263,0.413826,1.0,,1.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,
823984,Lautaro Martínez,F,10,2697,away,False,True,18.0,14.0,1.0,1.0,0.0,,,,86.0,29.0,6.5,7.0,6.5,6.8,,12499256,,,,5.0,4.0,1.0,1.0,,,,,,4.0,0.3214,0.0130759,,4.0,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,
791702,Marcus Thuram,F,9,2697,away,False,False,12.0,8.0,,,0.0,,,,90.0,30.0,9.3,11.0,9.3,9.7,,12499256,1.0,,,4.0,7.0,1.0,5.0,2.0,1.0,,,1.0,1.0,0.7645,0.197681,5.0,1.0,,1.0,2.0,1.0,,,2.0,,,,,,,,1.0,,,,,,,
835600,Davide Frattesi,M,16,2697,away,True,False,5.0,3.0,1.0,,1.0,,,,24.0,14.0,7.5,3.0,7.5,7.1,,12499256,,,1.0,3.0,5.0,,,,,1.0,1.0,,1.0,0.0578,0.410762,2.0,1.0,1.0,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,
759520,Denzel Dumfries,D,2,2697,away,True,False,7.0,6.0,2.0,1.0,0.0,,,,24.0,15.0,6.4,5.0,6.4,5.9,,12499256,2.0,1.0,,3.0,1.0,,,,,,,1.0,1.0,,0.021062,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
929199,Carlos Augusto,D,30,2697,away,True,False,3.0,2.0,1.0,,0.0,,,,15.0,7.0,6.2,2.0,6.2,6.2,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812533,Mehdi Taremi,F,99,2697,away,True,False,3.0,3.0,,,0.0,,,,15.0,5.0,6.5,,6.5,6.4,,12499256,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
996820,Kristjan Asllani,M,21,2697,away,True,False,1.0,1.0,,,0.0,,,,14.0,4.0,6.6,1.0,6.6,6.2,,12499256,1.0,,,,,,1.0,,1.0,,,,,0.279,,,,,,,,,,,,,,,,,,,,,,,,,
845291,Josep Martínez,G,13,2697,away,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301162,Raffaele Di Gennaro,G,12,2697,away,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000292,Alessandro Fontanarosa,D,47,2697,away,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787505,Benjamin Pavard,D,28,2697,away,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21927,Marko Arnautović,F,8,5149,away,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249929,Joaquín Correa,F,11,1958,away,True,False,,,,,,,,,,,,,,,,12499256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905351,Zion Suzuki,G,31,2690,home,False,False,30.0,21.0,17.0,8.0,0.0,,3.0,6.0,90.0,48.0,7.7,9.0,7.7,7.7,0.49,12499262,,,,,1.0,,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,
989894,Woyo Coulibaly,D,26,31,home,False,False,25.0,20.0,4.0,1.0,0.0,,,,90.0,47.0,6.5,13.0,6.5,6.5,,12499262,1.0,,2.0,7.0,3.0,1.0,,,1.0,,,1.0,2.0,,0.00698815,,1.0,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,
983510,Botond Balogh,D,4,2690,home,False,False,13.0,11.0,1.0,,0.0,,,,90.0,25.0,6.4,3.0,6.4,6.3,,12499262,,,2.0,5.0,3.0,,,,6.0,,1.0,2.0,2.0,,0.00545466,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
1155423,Alessandro Circati,D,39,2690,home,False,False,31.0,27.0,4.0,2.0,0.0,,,,90.0,46.0,7.0,5.0,7.0,6.9,,12499262,,,1.0,2.0,3.0,,,,10.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
891346,Emanuele Valeri,D,14,2690,home,False,False,23.0,17.0,7.0,3.0,0.0,,,,90.0,40.0,6.7,11.0,6.7,6.7,,12499262,1.0,,,2.0,3.0,,,,2.0,,2.0,1.0,1.0,,0.00983995,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
895868,Nahuel Estévez,M,8,2690,home,False,False,28.0,22.0,4.0,,0.0,,,,90.0,40.0,6.6,9.0,6.6,6.3,,12499262,3.0,,,4.0,2.0,,,,3.0,2.0,1.0,1.0,2.0,0.0232,0.0140439,1.0,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,
909991,Simon Sohm,M,19,2693,home,False,True,17.0,8.0,1.0,,0.0,,,,76.0,26.0,7.0,10.0,7.0,7.2,,12499262,,,,,4.0,,3.0,,1.0,,,2.0,,0.4226,0.00903402,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,
812145,Dennis Man,M,98,2952,home,False,False,14.0,12.0,1.0,,0.0,,,,65.0,25.0,8.1,7.0,8.1,8.0,,12499262,4.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,0.1814,0.165961,,1.0,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,
934384,Adrián Bernabé,M,10,2690,home,False,False,24.0,20.0,4.0,3.0,0.0,,,,80.0,32.0,6.9,6.0,6.9,7.0,,12499262,,,1.0,2.0,2.0,,,,,2.0,,1.0,2.0,0.0112,0.0129179,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
925242,Valentin Mihăilă,M,28,3064,home,False,False,12.0,7.0,1.0,,0.0,,,,65.0,29.0,7.2,9.0,7.2,7.1,,12499262,,,3.0,4.0,7.0,,1.0,,,,,3.0,1.0,0.9563,,,2.0,2.0,,2.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,
1086223,Ange-Yoan Bonny,F,13,2697,home,False,False,13.0,9.0,,,1.0,,,,65.0,21.0,7.1,8.0,7.1,6.4,,12499262,,,1.0,5.0,1.0,1.0,1.0,,,,,,1.0,0.039,0.0435334,,,,2.0,1.0,1.0,,,4.0,,,,,,,,,,,,,,,
1394202,Antoine Hainaut,M,20,2690,home,True,False,7.0,4.0,1.0,1.0,0.0,,,,25.0,11.0,6.6,3.0,6.6,6.7,,12499262,,,,,3.0,,,,,,,,,,0.00822101,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
958167,Drissa Camara,M,23,241802,home,True,False,9.0,7.0,,,0.0,,,,25.0,14.0,6.3,5.0,6.3,6.4,,12499262,,,1.0,2.0,,,,,1.0,,,,1.0,0.0173,0.0111576,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
856065,Pontus Almqvist,F,11,2690,home,True,False,6.0,4.0,,,0.0,,,,25.0,11.0,6.9,3.0,6.9,6.8,,12499262,,,,1.0,3.0,,,,,,2.0,1.0,1.0,,0.00579266,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
1017649,Matteo Cancellieri,F,22,2699,home,True,False,2.0,2.0,,,0.0,,,,14.0,11.0,6.8,4.0,6.8,6.6,,12499262,2.0,,,2.0,2.0,2.0,,,1.0,,,1.0,,,0.00528508,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,
308054,Wylan Cyprien,M,25,34694,home,True,False,11.0,8.0,2.0,1.0,0.0,,,,10.0,13.0,6.5,3.0,6.5,6.7,,12499262,,,,1.0,,,,,,,,,,0.1951,0.153175,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
80532,Leandro Chichizola,G,1,2706,home,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990411,Edoardo Corvi,G,40,2690,home,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958517,Lautaro Valenti,D,5,2690,home,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216053,Mateusz Kowalski,M,62,2690,home,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423452,Daniel Mikołajewski,F,64,2690,home,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155432,Anas Haj Mohamed,F,61,2690,home,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
